contracts,employment_type,level_of_exp,location,optional_skills,os,required_skills,ua_support
['full-time'],"['hybrid work', 'full office work']",['senior'],abroad (Luxembourg),"['Python', 'Kubernetes']",,"['Spring Boot', 'Java', 'Angular', 'SQL', 'Microsoft SQL Server']",True
['full-time'],['full office work'],['trainee'],Warszawa,"['Python', 'protocols']","['Windows', 'Linux']",['MS Office'],False
['full-time'],['full office work'],"['mid', 'senior']",Warszawa,"['Python', 'R']",,"['BPMN', 'Snowflake', 'Jira', 'SQL', 'Excel']",False
['full-time'],['hybrid work'],['mid'],Kraków,"['Python', 'Java']",,"['Git', 'Relational Databases', 'SQL', 'PostgreSQL', 'MySQL']",False
['full-time'],['home office work'],"['lead', 'manager']",Warszawa,,,"['AWS', 'Python', 'Kotlin']",False
['full-time'],"['home office work', 'hybrid work']",['mid'],Warszawa,"['Python', 'Go', 'TeamCity', 'Java']",,"['Node.js', 'HTML', 'JavaScript', 'SQL', 'NoSql', 'CSS']",False
['additional / temporary'],['hybrid work'],['mid'],Wrocław,"['Linux', 'Windows']",,"['Python', 'SQL', 'PHP']",False
['full-time'],['home office work'],['mid'],dolnośląskie,"['Python', 'JS', 'Java']",,"['Swagger', 'Jira', 'SQL', 'Postman']",False
['full-time'],['home office work'],"['mid', 'senior']",Warszawa,"['Python', 'AWS', 'Redux', 'NgRx']",['Linux'],"['Angular', 'REST API', 'RxJS', 'UI']",False
['full-time'],['home office work'],"['mid', 'senior']",Warszawa,"['Bash', 'Python', 'PostgreSQL', 'MySQL']","['Windows', 'Linux']","['Red Hat', 'OpenShift', 'Linux', 'Enterprise Architect', 'Ansible']",False
['full-time'],['hybrid work'],"['lead', 'manager']",Warszawa,['Windows'],,"['Jenkins', 'C++', 'SonarQ', 'Python', 'GIT', 'Linux', 'C']",False
['full-time'],['hybrid work'],['senior'],Gdynia,"['Python', 'React.js']","['Windows', 'macOS', 'Linux']","['MongoDB', '.NET']",True
['full-time'],['hybrid work'],['mid'],Łódź,"['JavaScript', 'Go', 'Python', 'Maven']",['Linux'],"['Kubernetes', 'Git', 'Helm', 'Java', 'Linux', 'Terraform']",False
['full-time'],['hybrid work'],['mid'],Warszawa,"['Python', 'Jira', 'JavaScript', 'Zabbix']",['Linux'],"['Bash', 'Linux']",False
['full-time'],['home office work'],['senior'],Warszawa,"['Python', 'Google Cloud Platform']",['Windows'],"['TypeScript', 'React']",True
['full-time'],['full office work'],['junior'],Kraków,['Python'],['Linux'],['C++'],False
['full-time'],['hybrid work'],['mid'],Sopot,['Python'],,"['Oracle', 'SQL']",False
['full-time'],['hybrid work'],['trainee'],Warszawa,['Python'],['Linux'],['C++'],False
['full-time'],['hybrid work'],"['mid', 'senior']",Warszawa,['Python'],,"['SQL', 'R']",False
['full-time'],"['home office work', 'hybrid work', 'full office work']","['mid', 'senior']",Opole,"['Python', 'Git']","['Windows', 'Linux']","['Linux', 'C++', 'Microsoft Excel']",False
['full-time'],['home office work'],['mid'],Warszawa,"['Python', 'Angular']",,"['RestAssured', 'Java', 'Selenium', 'JavaScript', 'Jira']",False
['full-time'],['hybrid work'],['senior'],Warszawa,"['Bash', 'Python']",,"['TCP/IP', 'ERP', 'CRM', 'Windows', 'LAN/WAN', 'PowerShell', 'Oracle', 'VPN', 'Linux', 'Microsoft SQL Server', 'MySQL']",False
['full-time'],['hybrid work'],['senior'],Warszawa,"['Python', 'Tableau']",,"['SQL', 'SAS']",False
['full-time'],['hybrid work'],['lead'],Kraków,"['Angular', 'React JS', 'Python', 'AWS']",,"['Jenkins', 'Git', 'C#', 'Octopus Deploy', 'JIRA']",False
['full-time'],['hybrid work'],['mid'],Wrocław,['Python'],,"['SQL', 'PL/SQL']",False
['full-time'],['full office work'],['mid'],Warszawa,['Python'],['Windows'],"['Microsoft 365', 'PowerShell', 'PowerPlatform', 'SharePoint', 'Microsoft Azure', 'PowerAutomate']",False
['full-time'],['full office work'],['junior'],Warszawa,['Python'],"['Windows', 'macOS', 'Linux']","['Linux', 'SQL', 'Windows Server']",False
['full-time'],['hybrid work'],"['mid', 'senior']",Warszawa,['Windows'],,['Python'],False
['full-time'],"['hybrid work', 'full office work']","['mid', 'senior']",Kraków,"['Bash', 'Python']",['Windows'],"['Cisco', 'DNS', 'HTTP', 'PROXY']",False
['full-time'],['hybrid work'],['mid'],Kraków,"['AWS', 'Python']",,"['RDS', 'NO-SQL']",True
['full-time'],"['hybrid work', 'full office work']","['mid', 'senior']",Warszawa,"['Bash', 'Python']",['Linux'],"['Git', 'C']",False
['full-time'],['hybrid work'],['trainee'],Warszawa,"['Python', 'HTML', 'JavaScript', 'SQL', 'CSS']",['Windows'],['Microsoft Excel'],False
['full-time'],['hybrid work'],"['mid', 'senior']",Warszawa,"['ONNX', 'Keras', 'TensorFlow', 'Python', 'PyTorch']",['Linux'],"['C++', 'Kotlin', 'Java', 'Android', 'C#', 'C']",False
['full-time'],['hybrid work'],['senior'],Warszawa,"['Python', 'SQL']",,"['RFP', 'CRM']",False
['full-time'],['hybrid work'],['mid'],Warszawa,['Windows'],,"['JavaScript', 'Python']",False
['full-time'],"['home office work', 'hybrid work']",['mid'],Łódź,['Python'],,"['ETL', 'SQL', 'SSIS']",False
['full-time'],['full office work'],['mid'],Zaczernie (pow. rzeszowski),"['Bash', 'Python']",['Linux'],['Linux'],True
['full-time'],['hybrid work'],"['mid', 'senior']",Warszawa,['Python'],['Linux'],"['Jenkins', 'Tomcat', 'Git', 'SQL', 'PostgreSQL', 'Nginx', 'Shell', 'Oracle', 'iptables', 'Bash', 'Apache', 'Ansible', 'MySQL']",False
['full-time'],['home office work'],['senior'],Łódź,['Python'],['Linux'],"['AWS', 'Node.js', 'JavaScript', 'TypeScript']",False
['full-time'],"['hybrid work', 'full office work']",['mid'],Bydgoszcz,['Python'],['Linux'],['SQL'],False
['full-time'],"['home office work', 'hybrid work']",['junior'],Warszawa,"['Python', 'Machine Learning', 'SAS']","['Windows', 'Linux']","['SQL', 'R']",False
['full-time'],"['home office work', 'hybrid work', 'full office work']",['senior'],Wrocław,"['Python', 'Vue.js', 'React.js']",,"['SQL', '.NET', 'C#', 'PostgreSQL', 'Azure', 'Azure Logic Apps']",False
['full-time'],"['hybrid work', 'full office work']","['mid', 'senior']",Warszawa,"['MATLAB', 'Python', 'R', 'Bash']",['Linux'],"['Git', 'C']",False
['full-time'],['full office work'],['mid'],Warszawa,"['JavaScript', 'Linux', 'Python', 'Java']",,['SQL'],False
